route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
2,5,87,"HOBOKEN",0,"2000",87
2,5,88,"HOBOKEN",0,"2002",88
2,5,89,"HOBOKEN",0,"2004",89
2,5,90,"HOBOKEN",0,"2008",90
2,4,91,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1989",91
2,4,92,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1991",92
2,4,93,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1993",93
2,4,94,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1995",94
2,4,95,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1999",95
2,4,96,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2003",96
2,4,97,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2009",97
2,4,98,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2013",98
2,4,99,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2015",99
2,4,100,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2017",100
2,4,101,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2019",101
2,4,102,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2021",102
2,4,103,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2023",103
2,4,104,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2025",104
2,4,105,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2027",105
2,4,106,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2029",106
2,4,107,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2033",107
2,4,108,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2035",108
2,4,109,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2037",109
2,4,110,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2039",110
2,4,111,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2041",111
2,4,112,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2043",112
2,4,113,"MEADOWLANDS SPORTS COMPLEX STATION",1,"2047",113
2,5,114,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1939",114
2,5,115,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1941",115
2,5,116,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1943",116
2,5,117,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1947",117
2,5,118,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1949",118
2,5,119,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1953",119
2,5,120,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1955",120
2,5,121,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1957",121
2,5,122,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1959",122
2,5,123,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1963",123
2,5,124,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1965",124
2,5,125,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1967",125
2,5,126,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1971",126
2,5,127,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1973",127
2,5,128,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1975",128
2,5,129,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1983",129
2,5,130,"MEADOWLANDS SPORTS COMPLEX STATION",1,"1991",130
3,6,131,"HOBOKEN",0,"1090",131
3,6,132,"HOBOKEN",0,"1092",132
3,6,133,"HOBOKEN",0,"1094",133
3,7,134,"HOBOKEN",0,"1002",134
3,7,135,"HOBOKEN",0,"1000",135
3,7,136,"HOBOKEN",0,"1070",136
3,7,137,"HOBOKEN",0,"1006",137
3,7,138,"HOBOKEN",0,"1074",138
3,8,139,"HOBOKEN",0,"1090",139
3,8,140,"HOBOKEN",0,"1092",140
3,8,141,"HOBOKEN",0,"1094",141
3,6,142,"LAKE HOPATCONG",1,"1091",142
3,6,143,"LAKE HOPATCONG",1,"1093",143
3,6,144,"LAKE HOPATCONG",1,"1095",144
3,7,145,"DOVER",1,"1009",145
3,7,146,"MOUNT OLIVE",1,"1055",146
3,7,147,"DENVILLE",1,"1003",147
3,7,148,"LAKE HOPATCONG",1,"1011",148
3,7,149,"DOVER",1,"1001",149
3,7,150,"HACKETTSTOWN",1,"1079",150
3,7,151,"MOUNT OLIVE",1,"1061",151
3,7,152,"HACKETTSTOWN",1,"1085",152
3,7,153,"HACKETTSTOWN",1,"1087",153
3,8,154,"LAKE HOPATCONG",1,"1091",154
3,8,155,"LAKE HOPATCONG",1,"1093",155
3,8,156,"LAKE HOPATCONG",1,"1095",156
4,6,157,"NEW YORK PENN STATION",0,"9200",157
4,6,158,"NEW YORK PENN STATION",0,"9202",158
4,6,159,"NEW YORK PENN STATION",0,"9204",159
4,6,160,"HOBOKEN",0,"9530",160
4,3,161,"HOBOKEN",0,"0544",161
4,9,162,"HOBOKEN",0,"0530",162
4,1,163,"HOBOKEN",0,"0510",163
4,1,164,"HOBOKEN",0,"0514",164
4,1,165,"HOBOKEN",0,"0518",165
4,1,166,"HOBOKEN",0,"0522",166
4,1,167,"HOBOKEN",0,"0526",167
4,1,168,"HOBOKEN",0,"0534",168
4,1,169,"HOBOKEN",0,"0538",169
4,7,170,"HOBOKEN",0,"0262",170
4,7,171,"NEW YORK PENN STATION",0,"6210",171
4,7,172,"HOBOKEN",0,"0204",172
4,7,173,"HOBOKEN",0,"0246",173
4,7,174,"NEW YORK PENN STATION",0,"6252",174
4,7,175,"HOBOKEN",0,"0208",175
4,7,176,"HOBOKEN",0,"0212",176
4,7,177,"NEW YORK PENN STATION",0,"6206",177
4,7,178,"NEW YORK PENN STATION",0,"6214",178
